date,cases_new,cases_recovered,cases_active
1/3/2022,230,1013,3331
2/3/2022,364,929,2766
3/3/2022,270,677,2359
4/3/2022,266,627,1998
5/3/2022,267,329,1936
6/3/2022,206,246,1896
7/3/2022,135,77,1954
8/3/2022,148,363,1739
9/3/2022,246,402,1583
10/3/2022,129,248,1464
11/3/2022,113,438,1139
12/3/2022,125,219,1045
13/3/2022,133,0,1178
14/3/2022,87,0,1265
15/3/2022,71,580,756
16/3/2022,146,126,776
17/3/2022,131,104,803
18/3/2022,83,143,743
19/3/2022,72,0,815
20/3/2022,87,305,597
