date,deaths_new
1/3/2022,15
2/3/2022,8
3/3/2022,9
4/3/2022,12
5/3/2022,12
6/3/2022,12
7/3/2022,12
8/3/2022,13
9/3/2022,12
10/3/2022,7
11/3/2022,15
12/3/2022,9
13/3/2022,4
14/3/2022,28
15/3/2022,10
16/3/2022,17
17/3/2022,10
18/3/2022,1
19/3/2022,10
20/3/2022,14
