date,deaths_new
1/3/2022,2
2/3/2022,2
3/3/2022,7
4/3/2022,1
5/3/2022,4
6/3/2022,2
7/3/2022,4
8/3/2022,3
9/3/2022,2
10/3/2022,0
11/3/2022,2
12/3/2022,1
13/3/2022,3
14/3/2022,0
15/3/2022,4
16/3/2022,5
17/3/2022,8
18/3/2022,5
19/3/2022,4
20/3/2022,1
