date,deaths_new
1/3/2022,21
2/3/2022,25
3/3/2022,20
4/3/2022,11
5/3/2022,10
6/3/2022,7
7/3/2022,13
8/3/2022,16
9/3/2022,14
10/3/2022,10
11/3/2022,8
12/3/2022,8
13/3/2022,22
14/3/2022,15
15/3/2022,16
16/3/2022,13
17/3/2022,7
18/3/2022,11
19/3/2022,18
20/3/2022,11
